"Day ","Items ","Note ","Amount "
"90","Human Resource Expense","Counselled","2000"
"90","Human Resource Expense","Counselled","2000"
"90","Human Resource Expense","Counselled","2000"
"90","Salary Expense","Cash Payment - Salary Expense","42722"
"90","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 340","15000"
"90","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"90","Rental Expense","Cash Payment - Rental - New York","4020"
"90","Rental Expense","Cash Payment - Rental - Miami","4200"
"90","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Detroit","1148"
"90","Rental Expense","Cash Payment - Rental - Detroit","1000"
"90","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Chicago","1312"
"90","Rental Expense","Cash Payment - Rental - Chicago","1480"
"90","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"90","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"89","Human Resource Expense","Attended Training","15000"
"89","Human Resource Expense","Counselled","2000"
"89","Human Resource Expense","Counselled","2000"
"89","Salary Expense","Cash Payment - Salary Expense","42630"
"89","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"89","Rental Expense","Cash Payment - Rental - New York","4020"
"89","Rental Expense","Cash Payment - Rental - Miami","4200"
"89","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Detroit","1204"
"89","Rental Expense","Cash Payment - Rental - Detroit","1000"
"89","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Chicago","1435"
"89","Rental Expense","Cash Payment - Rental - Chicago","1480"
"89","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"89","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"88","Human Resource Expense","Counselled","2000"
"88","Human Resource Expense","Attended Training","15000"
"88","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"88","Salary Expense","Cash Payment - Salary Expense","42538"
"88","Depreciation Expense","Non-Cash Expense - Depreciation","5000"
"88","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"88","Rental Expense","Cash Payment - Rental - New York","4020"
"88","Rental Expense","Cash Payment - Rental - Miami","4200"
"88","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Detroit","1260"
"88","Rental Expense","Cash Payment - Rental - Detroit","1000"
"88","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Chicago","1599"
"88","Rental Expense","Cash Payment - Rental - Chicago","1480"
"88","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"88","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"87","Human Resource Expense","Counselled","2000"
"87","Human Resource Expense","Counselled","2000"
"87","Human Resource Expense","Attended Training","15000"
"87","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"87","Salary Expense","Cash Payment - Salary Expense","42538"
"87","Depreciation Expense","Non-Cash Expense - Depreciation","10000"
"87","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"87","Rental Expense","Cash Payment - Rental - New York","4020"
"87","Rental Expense","Cash Payment - Rental - Miami","4200"
"87","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Detroit","1344"
"87","Rental Expense","Cash Payment - Rental - Detroit","1000"
"87","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Chicago","1722"
"87","Rental Expense","Cash Payment - Rental - Chicago","1480"
"87","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"87","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"86","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"86","Salary Expense","Cash Payment - Salary Expense","42412"
"86","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 381","15000"
"86","Depreciation Expense","Non-Cash Expense - Depreciation","15000"
"86","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"86","Rental Expense","Cash Payment - Rental - New York","4020"
"86","Rental Expense","Cash Payment - Rental - Miami","4200"
"86","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Detroit","1400"
"86","Rental Expense","Cash Payment - Rental - Detroit","1000"
"86","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Chicago","1845"
"86","Rental Expense","Cash Payment - Rental - Chicago","1480"
"86","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"86","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"85","Human Resource Expense","Attended Training","15000"
"85","Human Resource Expense","Attended Training","15000"
"85","Human Resource Expense","Attended Training","15000"
"85","Human Resource Expense","Counselled","2000"
"85","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"85","Salary Expense","Cash Payment - Salary Expense","42387"
"85","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 340","15000"
"85","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 387","15000"
"85","Depreciation Expense","Non-Cash Expense - Depreciation","25000"
"85","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"85","Rental Expense","Cash Payment - Rental - New York","4020"
"85","Rental Expense","Cash Payment - Rental - Miami","4200"
"85","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Detroit","1456"
"85","Rental Expense","Cash Payment - Rental - Detroit","1000"
"85","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Chicago","2009"
"85","Rental Expense","Cash Payment - Rental - Chicago","1480"
"85","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"85","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"84","Human Resource Expense","Attended Training","15000"
"84","Human Resource Expense","Counselled","2000"
"84","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"84","Salary Expense","Cash Payment - Salary Expense","42299"
"84","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 14984","11"
"84","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 368","15000"
"84","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 371","15000"
"84","Depreciation Expense","Non-Cash Expense - Depreciation","30000"
"84","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"84","Rental Expense","Cash Payment - Rental - New York","4020"
"84","Rental Expense","Cash Payment - Rental - Miami","4200"
"84","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Detroit","1540"
"84","Rental Expense","Cash Payment - Rental - Detroit","1000"
"84","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Chicago","2132"
"84","Rental Expense","Cash Payment - Rental - Chicago","1480"
"84","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"84","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"83","Human Resource Expense","Attended Training","15000"
"83","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"83","Salary Expense","Cash Payment - Salary Expense","42160"
"83","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 365","15000"
"83","Depreciation Expense","Non-Cash Expense - Depreciation","35000"
"83","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"83","Rental Expense","Cash Payment - Rental - New York","4020"
"83","Rental Expense","Cash Payment - Rental - Miami","4200"
"83","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Detroit","1624"
"83","Rental Expense","Cash Payment - Rental - Detroit","1000"
"83","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Chicago","2296"
"83","Rental Expense","Cash Payment - Rental - Chicago","1480"
"83","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"83","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"82","Human Resource Expense","Attended Training","15000"
"82","Human Resource Expense","Counselled","2000"
"82","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"82","Salary Expense","Cash Payment - Salary Expense","42116"
"82","Depreciation Expense","Non-Cash Expense - Depreciation","40000"
"82","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"82","Rental Expense","Cash Payment - Rental - New York","4020"
"82","Rental Expense","Cash Payment - Rental - Miami","4200"
"82","Rental Expense","Cash Payment - Rental - Detroit","1000"
"82","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Chicago","2419"
"82","Rental Expense","Cash Payment - Rental - Chicago","1480"
"82","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"82","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"81","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"81","Salary Expense","Cash Payment - Salary Expense","41570"
"81","Depreciation Expense","Non-Cash Expense - Depreciation","40000"
"81","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Los Angeles","416"
"81","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"81","Rental Expense","Cash Payment - Rental - New York","4020"
"81","Rental Expense","Cash Payment - Rental - Miami","4200"
"81","Rental Expense","Cash Payment - Rental - Detroit","1000"
"81","Rental Expense","Cash Payment - Rental - Chicago","1480"
"81","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"81","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"80","Human Resource Expense","Attended Training","15000"
"80","Human Resource Expense","Attended Training","15000"
"80","Human Resource Expense","Attended Training","15000"
"80","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"80","Salary Expense","Cash Payment - Salary Expense","40670"
"80","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 340","15000"
"80","Depreciation Expense","Non-Cash Expense - Depreciation","40000"
"80","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"80","Rental Expense","Cash Payment - Rental - New York","4020"
"80","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Miami","252"
"80","Rental Expense","Cash Payment - Rental - Miami","4200"
"80","Rental Expense","Cash Payment - Rental - Detroit","1000"
"80","Rental Expense","Cash Payment - Rental - Chicago","1480"
"80","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"80","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"79","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"79","Salary Expense","Cash Payment - Salary Expense","40582"
"79","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 371","15000"
"79","Depreciation Expense","Non-Cash Expense - Depreciation","40000"
"79","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Los Angeles","192"
"79","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"79","Rental Expense","Cash Payment - Rental - New York","4020"
"79","Rental Expense","Cash Payment - Rental - Miami","4200"
"79","Rental Expense","Cash Payment - Rental - Detroit","1000"
"79","Rental Expense","Cash Payment - Rental - Chicago","1480"
"79","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"79","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"78","Human Resource Expense","Counselled","2000"
"78","Human Resource Expense","Counselled","2000"
"78","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"78","Marketing Expense","Cash Payment - Marketing - Los Angeles - Sparkling Wine","1000"
"78","Marketing Expense","Cash Payment - Marketing - Los Angeles - Red Wine","1000"
"78","Marketing Expense","Cash Payment - Marketing - Los Angeles - White Wine","1000"
"78","Salary Expense","Cash Payment - Salary Expense","40494"
"78","Depreciation Expense","Non-Cash Expense - Depreciation","40000"
"78","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Los Angeles","768"
"78","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"78","Overflow Expense - Retail","Cash Payment - Overflow Fee  - New York","426"
"78","Rental Expense","Cash Payment - Rental - New York","4020"
"78","Rental Expense","Cash Payment - Rental - Miami","4200"
"78","Rental Expense","Cash Payment - Rental - Detroit","1000"
"78","Rental Expense","Cash Payment - Rental - Chicago","1480"
"78","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"78","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"77","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"77","Marketing Expense","Cash Payment - Marketing - Los Angeles - Sparkling Wine","1000"
"77","Marketing Expense","Cash Payment - Marketing - Los Angeles - Red Wine","1000"
"77","Marketing Expense","Cash Payment - Marketing - Los Angeles - White Wine","1000"
"77","Salary Expense","Cash Payment - Salary Expense","40494"
"77","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 378","15000"
"77","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 381","15000"
"77","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 384","15000"
"77","Depreciation Expense","Non-Cash Expense - Depreciation","40000"
"77","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Los Angeles","1472"
"77","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"77","Overflow Expense - Retail","Cash Payment - Overflow Fee  - New York","2485"
"77","Rental Expense","Cash Payment - Rental - New York","4020"
"77","Rental Expense","Cash Payment - Rental - Miami","4200"
"77","Rental Expense","Cash Payment - Rental - Detroit","1000"
"77","Rental Expense","Cash Payment - Rental - Chicago","1480"
"77","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"77","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"76","Human Resource Expense","Counselled","2000"
"76","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"76","Marketing Expense","Cash Payment - Marketing - Los Angeles - Sparkling Wine","1000"
"76","Marketing Expense","Cash Payment - Marketing - Los Angeles - Red Wine","1000"
"76","Marketing Expense","Cash Payment - Marketing - Los Angeles - White Wine","1000"
"76","Salary Expense","Cash Payment - Salary Expense","40374"
"76","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 387","15000"
"76","Depreciation Expense","Non-Cash Expense - Depreciation","40000"
"76","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Los Angeles","1600"
"76","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"76","Overflow Expense - Retail","Cash Payment - Overflow Fee  - New York","2840"
"76","Rental Expense","Cash Payment - Rental - New York","4020"
"76","Rental Expense","Cash Payment - Rental - Miami","4200"
"76","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Detroit","784"
"76","Rental Expense","Cash Payment - Rental - Detroit","1000"
"76","Rental Expense","Cash Payment - Rental - Chicago","1480"
"76","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"76","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"75","Human Resource Expense","Counselled","2000"
"75","Human Resource Expense","Counselled","2000"
"75","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"75","Marketing Expense","Cash Payment - Marketing - Los Angeles - Sparkling Wine","1000"
"75","Marketing Expense","Cash Payment - Marketing - Los Angeles - Red Wine","1000"
"75","Marketing Expense","Cash Payment - Marketing - Los Angeles - White Wine","1000"
"75","Salary Expense","Cash Payment - Salary Expense","40351"
"75","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 12897","27"
"75","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 340","15000"
"75","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 368","15000"
"75","Depreciation Expense","Non-Cash Expense - Depreciation","40000"
"75","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Los Angeles","1760"
"75","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"75","Overflow Expense - Retail","Cash Payment - Overflow Fee  - New York","3124"
"75","Rental Expense","Cash Payment - Rental - New York","4020"
"75","Rental Expense","Cash Payment - Rental - Miami","4200"
"75","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Detroit","812"
"75","Rental Expense","Cash Payment - Rental - Detroit","1000"
"75","Rental Expense","Cash Payment - Rental - Chicago","1480"
"75","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"75","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"74","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"74","Marketing Expense","Cash Payment - Marketing - Los Angeles - Sparkling Wine","1000"
"74","Marketing Expense","Cash Payment - Marketing - Los Angeles - Red Wine","1000"
"74","Marketing Expense","Cash Payment - Marketing - Los Angeles - White Wine","1000"
"74","Salary Expense","Cash Payment - Salary Expense","40269"
"74","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 13098","50"
"74","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 13103","92"
"74","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 365","15000"
"74","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 371","15000"
"74","Depreciation Expense","Non-Cash Expense - Depreciation","40000"
"74","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Los Angeles","1888"
"74","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"74","Overflow Expense - Retail","Cash Payment - Overflow Fee  - New York","639"
"74","Rental Expense","Cash Payment - Rental - New York","4020"
"74","Rental Expense","Cash Payment - Rental - Miami","4200"
"74","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Detroit","924"
"74","Rental Expense","Cash Payment - Rental - Detroit","1000"
"74","Rental Expense","Cash Payment - Rental - Chicago","1480"
"74","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"74","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"73","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"73","Marketing Expense","Cash Payment - Marketing - Los Angeles - Sparkling Wine","1000"
"73","Marketing Expense","Cash Payment - Marketing - Los Angeles - Red Wine","1000"
"73","Marketing Expense","Cash Payment - Marketing - Los Angeles - White Wine","1000"
"73","Salary Expense","Cash Payment - Salary Expense","40138"
"73","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 12864","159"
"73","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 12902","16"
"73","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 12906","101"
"73","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 12908","116"
"73","Depreciation Expense","Non-Cash Expense - Depreciation","40000"
"73","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Los Angeles","2048"
"73","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"73","Overflow Expense - Retail","Cash Payment - Overflow Fee  - New York","994"
"73","Rental Expense","Cash Payment - Rental - New York","4020"
"73","Rental Expense","Cash Payment - Rental - Miami","4200"
"73","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Detroit","1008"
"73","Rental Expense","Cash Payment - Rental - Detroit","1000"
"73","Rental Expense","Cash Payment - Rental - Chicago","1480"
"73","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"73","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"72","Human Resource Expense","Attended Training","15000"
"72","Human Resource Expense","Attended Training","15000"
"72","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"72","Salary Expense","Cash Payment - Salary Expense","40096"
"72","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 12721","306"
"72","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 12725","183"
"72","Depreciation Expense","Non-Cash Expense - Depreciation","40000"
"72","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Los Angeles","2400"
"72","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"72","Overflow Expense - Retail","Cash Payment - Overflow Fee  - New York","1349"
"72","Rental Expense","Cash Payment - Rental - New York","4020"
"72","Rental Expense","Cash Payment - Rental - Miami","4200"
"72","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Detroit","1064"
"72","Rental Expense","Cash Payment - Rental - Detroit","1000"
"72","Rental Expense","Cash Payment - Rental - Chicago","1480"
"72","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"72","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"71","Salary Expense","Cash Payment - Salary Expense","39592"
"71","Depreciation Expense","Non-Cash Expense - Depreciation","43333"
"71","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Los Angeles","2496"
"71","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"71","Overflow Expense - Retail","Cash Payment - Overflow Fee  - New York","1704"
"71","Rental Expense","Cash Payment - Rental - New York","4020"
"71","Rental Expense","Cash Payment - Rental - Miami","4200"
"71","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Detroit","1148"
"71","Rental Expense","Cash Payment - Rental - Detroit","1000"
"71","Rental Expense","Cash Payment - Rental - Chicago","1480"
"71","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"71","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"70","Human Resource Expense","Attended Training","15000"
"70","Human Resource Expense","Counselled","2000"
"70","Salary Expense","Cash Payment - Salary Expense","38764"
"70","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 12275","104"
"70","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 12318","78"
"70","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 340","15000"
"70","Depreciation Expense","Non-Cash Expense - Depreciation","43333"
"70","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Los Angeles","2592"
"70","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"70","Overflow Expense - Retail","Cash Payment - Overflow Fee  - New York","1988"
"70","Rental Expense","Cash Payment - Rental - New York","4020"
"70","Rental Expense","Cash Payment - Rental - Miami","4200"
